plate_barcode,well_description,image_description,object_description,pattern_description,AreaShape_compactness
110000106828,A01,1,315,Cells,1.06515734512711
110000106828,A01,1,278,Cells,1.43286154353501
110000106828,A01,1,230,Cells,1.15413715530376
110000106828,A01,1,135,Cells,1.36349584941215
110000106828,A01,1,320,Cells,1.26651468060246
110000106828,A01,1,341,Cells,1.06410055521867
110000106828,A01,1,184,Cells,1.21247199498696
110000106828,A01,1,366,Cells,1.84731540636885
110000106828,A01,1,515,Cells,1.07306113159521
110000106828,A01,1,336,Cells,1.67855887747679
110000106828,A01,1,59,Cells,1.00425677745212
110000106828,A01,1,529,Cells,1.65737497996138
110000106828,A01,1,352,Cells,1.06824882705763
110000106828,A01,1,513,Cells,1.22657175355291
110000106828,A01,1,68,Cells,1.09546882629017
110000106828,A01,1,321,Cells,1.36166550862208
110000106828,A01,1,11,Cells,1.50023745181265
110000106828,A01,1,459,Cells,1.15228192538662
110000106828,A01,1,354,Cells,1.44674395959234
110000106828,A01,1,204,Cells,1.35719065314211
110000106828,A01,1,415,Cells,1.36068821284953
110000106828,A01,1,73,Cells,1.15413913138625
110000106828,A01,1,5,Cells,2.0262194076214
110000106828,A01,1,180,Cells,2.01060763109819
110000106828,A01,1,91,Cells,1.37594059037195
110000106828,A01,1,220,Cells,1.14521183371885
110000106828,A01,1,197,Cells,1.11291725238557
110000106828,A01,1,377,Cells,1.22864043888828
110000106828,A01,1,63,Cells,1.51473849736826
110000106828,A01,1,7,Cells,1.0136568108253
110000106828,A01,1,436,Cells,1.10878202463437
110000106828,A01,1,75,Cells,1.08378113891355
110000106828,A01,1,110,Cells,1.61117931481137
110000106828,A01,1,120,Cells,1.37385464133045
110000106828,A01,1,347,Cells,1.1325189400074
110000106828,A01,1,154,Cells,1.42792811919162
110000106828,A01,1,471,Cells,1.36639524222412
110000106828,A01,1,287,Cells,1.45271677695662
110000106828,A01,1,146,Cells,1.25589660167589
110000106828,A01,1,71,Cells,1.93376267694447
110000106828,A01,1,281,Cells,1.20752023584532
110000106828,A01,1,261,Cells,1.0507585719392
110000106828,A01,1,394,Cells,1.6145462510458
110000106828,A01,1,186,Cells,1.31837886550195
110000106828,A01,1,285,Cells,1.53723784796212
110000106828,A01,1,269,Cells,1.59447763152004
110000106828,A01,1,508,Cells,1.16681298797121
110000106828,A01,1,144,Cells,1.23750458681282
110000106828,A01,1,334,Cells,1.10145810338762
110000106828,A01,1,203,Cells,1.11041821111717
110000106828,A01,1,391,Cells,1.21886878625231
110000106828,A01,1,365,Cells,1.56718519391385
110000106828,A01,1,423,Cells,1.52919095579908
110000106828,A01,1,189,Cells,1.11418810958306
110000106828,A01,1,259,Cells,1.65463197010371
110000106828,A01,1,437,Cells,1.2054226373135
110000106828,A01,1,412,Cells,1.38433386440038
110000106828,A01,1,360,Cells,1.51258245577582
110000106828,A01,1,174,Cells,1.36426801140739
110000106828,A01,1,542,Cells,1.11485206318364
110000106828,A01,1,97,Cells,1.01640135986416
110000106828,A01,1,224,Cells,2.00679411835996
110000106828,A01,1,473,Cells,1.07866950700336
110000106828,A01,1,225,Cells,1.28428077676904
110000106828,A01,1,39,Cells,1.18487568662283
110000106828,A01,1,407,Cells,1.04623705442534
110000106828,A01,1,196,Cells,1.13841471139124
110000106828,A01,1,233,Cells,1.57788674404905
110000106828,A01,1,504,Cells,1.37732015394572
110000106828,A01,1,79,Cells,1.07802224132281
110000106828,A01,1,283,Cells,1.24385738228564
110000106828,A01,1,302,Cells,1.10110706391178
110000106828,A01,1,326,Cells,1.28064879084038
110000106828,A01,1,87,Cells,1.06401864190073
110000106828,A01,1,532,Cells,1.14231263153639
110000106828,A01,1,92,Cells,2.03492759357485
110000106828,A01,1,348,Cells,1.41883409308445
110000106828,A01,1,161,Cells,1.29759318480866
110000106828,A01,1,155,Cells,1.37170622103196
110000106828,A01,1,138,Cells,1.05868579421493
110000106828,A01,1,419,Cells,2.21332893757242
110000106828,A01,1,400,Cells,2.03931263828676
110000106828,A01,1,492,Cells,1.2908790911343
110000106828,A01,1,380,Cells,1.09515631180994
110000106828,A01,1,427,Cells,1.03696797415453
110000106828,A01,1,308,Cells,1.10440997643815
110000106828,A01,1,406,Cells,1.3586424048723
110000106828,A01,1,272,Cells,1.67201027718057
110000106828,A01,1,451,Cells,1.40448192572989
110000106828,A01,1,74,Cells,1.05150519317062
110000106828,A01,1,254,Cells,1.75043337574683
110000106828,A01,1,69,Cells,1.38911225568056
110000106828,A01,1,325,Cells,1.68650450155035
110000106828,A01,1,505,Cells,1.22400248565744
110000106828,A01,1,191,Cells,1.12369991030134
110000106828,A01,1,182,Cells,1.2575464059987
110000106828,A01,1,212,Cells,1.03104554106039
110000106828,A01,1,443,Cells,1.20715191283691
110000106828,A01,1,433,Cells,2.43650282235801
110000106828,A01,1,235,Cells,1.09314366770588
110000106828,A01,1,160,Cells,1.34744032386267
110000106828,A01,1,300,Cells,1.08141537269784
110000106828,A01,1,464,Cells,1.32127388394904
110000106828,A01,1,210,Cells,1.23948998420036
110000106828,A01,1,369,Cells,1.43952130904514
110000106828,A01,1,286,Cells,1.19997129861081
110000106828,A01,1,483,Cells,1.98297913724221
110000106828,A01,1,255,Cells,1.18423392996869
