plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_mean,Intensity_median,Intensity_median_absolute_deviation,Intensity_minimum,Intensity_standard_deviation,Intensity_third_quartile
110000106828,A03,6,343,Cells,Alexa568,0.787750218355246,1.7598698860767,1.72913774870123,0.931625650719501,0.914331903573895,0.968594504988068,-1.24966311404128,0.883072627167228,0.805156090836
110000106828,A03,6,378,Cells,Alexa568,0.643096024553845,0.265548672960239,-0.497106536701996,-0.041414914492558,0.0753561420358983,-0.0814990116193862,-0.771402001929403,-0.377461448433962,-0.0763218241616876
110000106828,A03,6,731,Cells,Alexa568,-1.14023435153034,0.0162448871115696,0.560506605269159,-0.777703801960014,-0.920653227757899,-0.918510106802332,-0.893241501231435,0.18854354127966,-1.12811245528862
110000106828,A03,6,433,Cells,Alexa568,-0.462570906370429,2.98516800854531,0.843973916824516,-0.181415696980862,-0.519105242567927,-0.531899690921305,-0.522898967720271,0.528252812171663,-0.548446377769624
110000106828,A03,6,723,Cells,Alexa568,-0.837772275013994,-0.11641914194431,-0.834608210386222,-0.638568155978622,-0.446537810090015,-0.351149457166856,-0.623928222987945,-0.737134061554352,-0.54285314317801
110000106828,A03,6,116,Cells,Alexa568,1.13131465676401,-0.363721718727544,1.0961441130621,1.10429224118456,1.31202719083246,1.20287439639692,-0.715942295080598,0.891365127212233,0.820732001998605
110000106828,A03,6,318,Cells,Alexa568,-1.36971162929159,-0.0375534283367336,-0.736312858516977,-1.29464718407249,-1.11616609052954,-1.06137475715991,-0.745844997013501,-1.05372723192419,-1.21058764524339
110000106828,A03,6,219,Cells,Alexa568,0.226694718081026,-0.612278474498096,0.0169524951853549,0.211119789059355,0.186376553578958,0.24152377191247,0.477077610602104,0.083248778116578,0.387107986183058
110000106828,A03,6,131,Cells,Alexa568,1.02943388893666,-0.847716892630719,0.019933904950455,0.679612442008051,0.732319739909749,0.827284206337637,-0.0198725141361083,0.307353779905809,0.817183911141596
110000106828,A03,6,424,Cells,Alexa568,-0.667957242404324,-0.564375789723544,-0.749682771676663,-0.668829371676992,-0.727138653934577,-0.684990954014721,0.158888673437674,-0.639422665265685,-0.559522911299528
110000106828,A03,6,438,Cells,Alexa568,-1.15627606186097,-0.691686012510241,-0.970977265765095,-0.913830503170042,-0.782868207507168,-0.678127205635126,-0.169281179709586,-0.85607892748726,-0.830492549696036
110000106828,A03,6,19,Cells,Alexa568,-0.318185285765399,0.957266126972758,0.38251373639273,-0.391789191968823,-0.419351552366923,-0.440174645010098,-0.0263321980557968,-0.180160466603999,-0.558196118055358
110000106828,A03,6,453,Cells,Alexa568,-0.542762440989065,-0.560670201511935,-0.757459620384793,-0.739058880205966,-0.490410982823951,-0.587077110021851,0.0811581497853805,-0.813383143351273,-0.788181504809652
110000106828,A03,6,650,Cells,Alexa568,0.257229936779139,-0.912861648784707,-1.07391815586981,-0.546211034689355,-0.219509618589492,-0.47612423715325,-0.0972981648557425,-1.0533320885477,-0.472337238224383
110000106828,A03,6,283,Cells,Alexa568,-0.430624710030712,-0.714036175270132,-0.947175647058183,-0.944621704144678,-0.673505153178406,-0.855508906368434,0.253934571011137,-1.07449570810774,-1.00419850318584
110000106828,A03,6,406,Cells,Alexa568,0.105987060583934,-0.932909510817948,-0.209284724900303,0.139479877937042,0.149419779393565,0.213325026808799,0.319307578459684,0.0481622148729968,0.182531358657689
110000106828,A03,6,264,Cells,Alexa568,-0.423954467732516,0.194041892877609,-0.42693009766166,-0.539863021868264,-0.363911593208471,-0.327577992031906,-1.07141628634596,-0.591498979073122,-0.539026109444411
110000106828,A03,6,625,Cells,Alexa568,-0.724546498372726,0.0190517113532502,-0.738559985431514,-0.975825440323965,-0.679498213762523,-0.787840214466645,-1.07193185364198,-1.00881209772114,-0.99852584580761
110000106828,A03,6,105,Cells,Alexa568,-0.632948110423547,0.32335329653723,-0.4134121287262,-0.356060888133,-0.240983011941661,-0.125875671335896,-0.641312419709757,-0.358438350332466,-0.317877366137627
110000106828,A03,6,164,Cells,Alexa568,-1.27807700942117,0.0243039935897273,-0.039211225712421,-0.687939641014858,-0.625622674053457,-0.515291621332208,-1.20695514522796,-0.232650335309035,-0.899166543915615
