plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_median,Intensity_minimum
110000106828,A03,6,304,Cells,Alexa568,0.0116344229318202,11.7732816305361,0.0998068004846573,0.0289567280560732,0.000572674034629017
110000106828,A03,6,584,Cells,Alexa568,0.00436884304508567,20.6718856865773,0.126813337206841,0.0158406402915716,0.00100718031171709
110000106828,A03,6,197,Cells,Alexa568,0.00589095498435199,10.2679525999702,0.0888945832848549,0.0119413775391877,0.000973112822975963
110000106828,A03,6,596,Cells,Alexa568,0.00505146430805326,14.8095775897964,0.0748317837715149,0.0112958112731576,0.000572124205064029
110000106828,A03,6,307,Cells,Alexa568,0.00671745126601309,11.8092687304597,0.0640518590807915,0.0107055120170116,0.00119137112051249
110000106828,A03,6,21,Cells,Alexa568,0.00292929483111948,8.28572392230853,0.046067364513874,0.00509065156802535,0.000494433974381536
110000106828,A03,6,737,Cells,Alexa568,0.00919086579233408,22.5381047739647,0.117074564099312,0.0369831584393978,0.000893591495696455
110000106828,A03,6,212,Cells,Alexa568,0.00407933536916971,10.8709266973892,0.0885203555226326,0.0063981362618506,0.000783741066697985
110000106828,A03,6,529,Cells,Alexa568,0.0203013080172241,8.10724709695205,0.0494747944176197,0.0306004351004958,0.00409724889323115
110000106828,A03,6,279,Cells,Alexa568,0.00414790073409677,8.20482717012055,0.0551234856247902,0.00694359373301268,0.000717193412128836
110000106828,A03,6,655,Cells,Alexa568,0.00333895510993898,14.6909070329275,0.0539902225136757,0.00550729688256979,0.000602442480158061
110000106828,A03,6,509,Cells,Alexa568,0.00587589561473578,16.9010246601538,0.0649069845676422,0.0115316240116954,0.000839189684484154
110000106828,A03,6,94,Cells,Alexa568,0.00533261243253946,12.3935712616658,0.0547869168221951,0.00895071960985661,0.000753777392674238
110000106828,A03,6,408,Cells,Alexa568,0.00576044351328164,18.8252591185155,0.0652761608362198,0.00942403124645352,0.00075591093627736
110000106828,A03,6,58,Cells,Alexa568,0.00878620333969593,7.71786080038874,0.0611277706921101,0.019445301964879,0.000892566691618413
110000106828,A03,6,336,Cells,Alexa568,0.00588741200044751,35.1391316355439,0.10469476133585,0.0143331941217184,0.000760863826144487
110000106828,A03,6,286,Cells,Alexa568,0.00576025678310543,11.7462546381284,0.108837887644768,0.0141782737337053,0.000638493045698851
110000106828,A03,6,183,Cells,Alexa568,0.00331960082985461,14.6645866867038,0.0592402331531048,0.00490425061434507,0.000917399709578604
110000106828,A03,6,474,Cells,Alexa568,0.00807255879044533,13.1305897558341,0.0610451474785805,0.0138621460646391,0.000916267978027463
110000106828,A03,6,745,Cells,Alexa568,0.00294264109106734,8.07235897440114,0.047644417732954,0.00544255855493248,0.000440070783952251
110000106828,A03,6,227,Cells,Alexa568,0.00294533453416079,22.2697641483974,0.0558427721261978,0.00625534844584763,0.000406334002036601
110000106828,A03,6,486,Cells,Alexa568,0.00555507268290967,12.5028513647849,0.0590680502355099,0.0096103916876018,0.00103178014978766
110000106828,A03,6,332,Cells,Alexa568,0.00282588711706921,10.8385113900295,0.0603344142436981,0.00508999568410218,0.00069517211522907
110000106828,A03,6,463,Cells,Alexa568,0.00646907277405262,8.09715158579638,0.0524635277688503,0.010932344943285,0.000835313170682639
110000106828,A03,6,756,Cells,Alexa568,0.0025539721827954,18.566309002752,0.0876594111323357,0.00561583694070578,0.000348268949892372
110000106828,A03,6,76,Cells,Alexa568,0.00420058192685246,17.1695498515037,0.0584382824599743,0.00714241713285446,0.000778323912527412
110000106828,A03,6,221,Cells,Alexa568,0.00459434418007731,7.79738913843175,0.0488126948475838,0.00755364261567593,0.000622334773652256
110000106828,A03,6,712,Cells,Alexa568,0.00272111786762252,9.79004021582659,0.0646173804998398,0.00472111813724041,0.000674778537359089
110000106828,A03,6,462,Cells,Alexa568,0.00882361107505858,11.0323816225282,0.0540116205811501,0.0167584959417582,0.000839544052723795
110000106828,A03,6,407,Cells,Alexa568,0.00234304694458842,16.582513747795,0.0484108328819275,0.00477418396621943,0.000518167566042394
110000106828,A03,6,370,Cells,Alexa568,0.00368744460865855,10.4349869692815,0.0437637604773045,0.00598945957608521,0.000751671381294727
110000106828,A03,6,165,Cells,Alexa568,0.0044899950735271,16.1518504505511,0.056619368493557,0.00871272850781679,0.000601338630076498
110000106828,A03,6,267,Cells,Alexa568,0.00610473635606468,8.68617179861758,0.0694545581936836,0.0120513802394271,0.000844042398966849
110000106828,A03,6,251,Cells,Alexa568,0.00757083145435899,13.0046289146412,0.0667864605784416,0.0147864716127515,0.000819240929558873
110000106828,A03,6,387,Cells,Alexa568,0.00639398884959519,9.81101111555472,0.0736978277564049,0.0105822337791324,0.00099463015794754
110000106828,A03,6,417,Cells,Alexa568,0.00264607463032007,10.5825687336037,0.0514227077364922,0.00543207675218582,0.000882608699612319
110000106828,A03,6,632,Cells,Alexa568,0.00385314878076315,23.6088432274119,0.0564126521348953,0.00866943784058094,0.000381782680051401
110000106828,A03,6,174,Cells,Alexa568,0.0044857794418931,11.2877808000194,0.0510782860219479,0.00657549733296037,0.000771147606428713
110000106828,A03,6,646,Cells,Alexa568,0.0061250930884853,11.8115959246643,0.0523264855146408,0.00790643598884344,0.00131539115682244
110000106828,A03,6,276,Cells,Alexa568,0.00473515468183905,12.79158142698,0.0814360678195953,0.0131706213578582,0.00111623422708362
110000106828,A03,6,373,Cells,Alexa568,0.00613003876060247,9.61089114838978,0.062364786863327,0.0109005831182003,0.000771336315665394
110000106828,A03,6,229,Cells,Alexa568,0.00609472289215773,22.7241553689819,0.122616343200207,0.016971149481833,0.000838351435959339
110000106828,A03,6,285,Cells,Alexa568,0.00337304756976664,12.2299859449267,0.0410413034260273,0.00672085816040635,0.000886792549863458
110000106828,A03,6,604,Cells,Alexa568,0.00638291286304593,13.5815603546798,0.0738787278532982,0.0111157773062587,0.000809471472166479
110000106828,A03,6,633,Cells,Alexa568,0.00357239856384695,8.26574403449195,0.0523636713624001,0.00709348870441318,0.0008047905866988
110000106828,A03,6,395,Cells,Alexa568,0.00380490394309163,11.8777139557642,0.0515922345221043,0.00669790455140173,0.00069995119702071
110000106828,A03,6,389,Cells,Alexa568,0.00392370205372572,9.63076951476978,0.0532560646533966,0.00973121356219053,0.000869174720719457
